miRNA, drug
hsa-let-7b,1110
hsa-let-7b,1130
hsa-let-7b,1207
hsa-let-7b,1674
hsa-let-7b,1676
hsa-let-7b,1775
hsa-let-7b,1935
hsa-let-7b,1978
hsa-let-7b,1983
hsa-let-7b,1986
hsa-let-7b,1989
hsa-let-7b,1993
hsa-let-7b,2082
hsa-let-7b,2083
hsa-let-7b,2088
hsa-let-7b,2092
hsa-let-7b,2118
hsa-let-7b,2123
hsa-let-7b,2130
hsa-let-7b,2131
hsa-let-7b,2132
hsa-let-7b,2140
hsa-let-7b,2145
hsa-let-7b,2148
hsa-let-7b,2153
hsa-let-7b,2157
hsa-let-7b,2159
hsa-let-7b,2160
hsa-let-7b,2161
hsa-let-7b,2162
hsa-let-7b,2164
hsa-let-7b,2165
hsa-let-7b,2170
hsa-let-7b,2179
hsa-let-7b,2187
hsa-let-7b,2194
hsa-let-7b,2197
hsa-let-7b,2200
hsa-let-7b,2202
hsa-let-7b,2206
hsa-let-7b,2216
hsa-let-7b,2236
hsa-let-7b,2244
hsa-let-7b,2247
hsa-let-7b,2249
hsa-let-7b,2265
hsa-let-7b,2267
hsa-let-7b,2284
hsa-let-7b,2315
hsa-let-7b,2335
hsa-let-7b,2337
hsa-let-7b,2343
hsa-let-7b,2345
hsa-let-7b,2350
hsa-let-7b,2365
hsa-let-7b,2368
hsa-let-7b,2369
hsa-let-7b,2370
hsa-let-7b,2378
hsa-let-7b,2381
hsa-let-7b,2391
hsa-let-7b,2406
hsa-let-7b,2431
hsa-let-7b,2435
hsa-let-7b,2441
hsa-let-7b,2442
hsa-let-7b,2444
hsa-let-7b,2448
hsa-let-7b,2471
hsa-let-7b,2474
hsa-let-7b,2477
hsa-let-7b,2478
hsa-let-7b,2479
hsa-let-7b,2481
hsa-let-7b,2482
hsa-let-7b,2484
hsa-let-7b,2519
hsa-let-7b,2520
hsa-let-7b,2528
hsa-let-7b,2554
hsa-let-7b,2562
hsa-let-7b,2564
hsa-let-7b,2576
hsa-let-7b,2581
hsa-let-7b,2583
hsa-let-7b,2585
hsa-let-7b,2663
hsa-let-7b,2678
hsa-let-7b,2681
hsa-let-7b,2682
hsa-let-7b,2710
hsa-let-7b,2712
hsa-let-7b,2717
hsa-let-7b,2719
hsa-let-7b,2720
hsa-let-7b,2722
hsa-let-7b,2723
hsa-let-7b,2725
hsa-let-7b,2726
hsa-let-7b,2727
hsa-let-7b,2732
hsa-let-7b,2733
hsa-let-7b,2749
hsa-let-7b,2754
hsa-let-7b,2761
hsa-let-7b,2762
hsa-let-7b,2764
hsa-let-7b,2771
hsa-let-7b,2783
hsa-let-7b,2784
hsa-let-7b,2788
hsa-let-7b,2789
hsa-let-7b,2795
hsa-let-7b,2796
hsa-let-7b,2800
hsa-let-7b,2801
hsa-let-7b,2802
hsa-let-7b,2803
hsa-let-7b,2809
hsa-let-7b,2811
hsa-let-7b,2812
hsa-let-7b,2833
hsa-let-7b,2882
hsa-let-7b,2883
hsa-let-7b,2893
hsa-let-7b,2895
hsa-let-7b,2904
hsa-let-7b,2905
hsa-let-7b,2907
hsa-let-7b,2910
hsa-let-7b,2911
hsa-let-7b,2913
hsa-let-7b,2950
hsa-let-7b,2955
hsa-let-7b,2966
hsa-let-7b,2968
hsa-let-7b,2972
hsa-let-7b,2973
hsa-let-7b,2993
hsa-let-7b,3009
hsa-let-7b,3016
hsa-let-7b,3019
hsa-let-7b,3025
hsa-let-7b,3033
hsa-let-7b,3038
hsa-let-7b,3042
hsa-let-7b,3052
hsa-let-7b,3055
hsa-let-7b,3059
hsa-let-7b,3089
hsa-let-7b,3100
hsa-let-7b,3105
hsa-let-7b,3108
hsa-let-7b,3114
hsa-let-7b,3149
hsa-let-7b,3151
hsa-let-7b,3152
hsa-let-7b,3156
hsa-let-7b,3157
hsa-let-7b,3162
hsa-let-7b,3168
hsa-let-7b,3180
hsa-let-7b,3182
hsa-let-7b,3191
hsa-let-7b,3198
hsa-let-7b,3202
hsa-let-7b,3219
hsa-let-7b,3229
hsa-let-7b,3241
hsa-let-7b,3261
hsa-let-7b,3278
hsa-let-7b,3284
hsa-let-7b,3291
hsa-let-7b,3292
hsa-let-7b,3305
hsa-let-7b,3306
hsa-let-7b,3324
hsa-let-7b,3325
hsa-let-7b,3331
hsa-let-7b,3333
hsa-let-7b,3335
hsa-let-7b,3337
hsa-let-7b,3339
hsa-let-7b,3341
hsa-let-7b,3345
hsa-let-7b,3348
hsa-let-7b,3354
hsa-let-7b,3356
hsa-let-7b,3365
hsa-let-7b,3366
hsa-let-7b,3371
hsa-let-7b,3372
hsa-let-7b,3380
hsa-let-7b,3385
hsa-let-7b,3393
hsa-let-7b,3394
hsa-let-7b,3396
hsa-let-7b,3397
hsa-let-7b,3404
hsa-let-7b,3406
hsa-let-7b,3410
hsa-let-7b,3440
hsa-let-7b,3463
hsa-let-7b,3467
hsa-let-7b,3468
hsa-let-7b,3475
hsa-let-7b,3476
hsa-let-7b,3478
hsa-let-7b,3487
hsa-let-7b,3488
hsa-let-7b,3496
hsa-let-7b,3516
hsa-let-7b,3517
hsa-let-7b,3518
hsa-let-7b,3519
hsa-let-7b,3520
hsa-let-7b,3559
hsa-let-7b,3561
hsa-let-7b,3598
hsa-let-7b,3601
hsa-let-7b,3607
hsa-let-7b,3610
hsa-let-7b,3637
hsa-let-7b,3639
hsa-let-7b,3647
hsa-let-7b,3658
hsa-let-7b,3672
hsa-let-7b,3676
hsa-let-7b,3690
hsa-let-7b,3696
hsa-let-7b,3698
hsa-let-7b,3702
hsa-let-7b,3720
hsa-let-7b,3724
hsa-let-7b,3728
hsa-let-7b,3730
hsa-let-7b,3731
hsa-let-7b,3735
